,159146620-stool1,159551223-stool1,159551223-stool2,159713063-stool1,159733294-stool1,159814214-stool1,160643649-stool1,246515023-stool2,737052003-stool1,763820215-stool2,764002286-stool1,MH0002,MH0024,MH0048,MH0071,MH0086,MH0109,MH0123,MH0131,MH0139,MH0166,MH0178,MH0188,MH0212,MH0227,MH0388,MH0410,MH0416,MH0420,MH0451,MH309,MH362,MH386,O2.UC2-0,O2.UC2-1,O2.UC30-0,O2.UC31-0,O2.UC31-1,O2.UC31-2,O2.UC32-0,O2.UC32-1,O2.UC32-2,O2.UC48-0,V1.CD15-3,V1.CD21-4,V1.CD46-0,V1.CD55-0,V1.CD6-4,V1.CD7-0,V1.FI03,V1.FI23,V1.FI25,V1.UC15-0,V1.UC15-3,V1.UC16-0,V1.UC2-0,V1.UC23-0,V1.UC35-4,V1.UC55-0,V1.UC58-4,V1.UC9-0,MH0013,MH0305,MH0393,O2.UC29-1,V1.UC2-4,V1.UC32-0,V1.FI05,764811490-stool1,763840445-stool2,159510762-stool1,159510762-stool2,MH0015,MH0122,763820215-stool1,O2.UC2-2,763982056-stool2,159005010-stool1,159247771-stool2,159591683-stool1,159591683-stool2,159814214-stool2,160178356-stool1,246515023-stool1,338793263-stool1,763840445-stool1,763901136-stool1,763901136-stool2,763982056-stool1,764285508-stool1,765560005-stool1,MH0040,MH0062,MH0068,MH0087,MH0110,MH0114,MH0127,MH0134,MH0136,MH0155,MH0156,MH0162,MH0174,MH0182,MH0186,MH0199,MH0229,MH0230,MH0236,MH0267,MH0287,MH0292,MH0310,MH0333,MH0335,MH0424,MH0444,MH0446,MH0455,MH379,O2.CD3-0-PT,O2.UC15-0,O2.UC20-1,O2.UC21-0,O2.UC21-1,O2.UC21-2,O2.UC27-0,O2.UC27-1,O2.UC27-2,O2.UC34-2,O2.UC4-0,O2.UC4-1,O2.UC4-2,O2.UC56-0,O2.UC56-2,O2.UC7-0,O2.UC7-1,O2.UC8-2,O2.UC9-0,O2.UC9-1,O2.UC9-2,V1.CD-PT1-0,V1.CD15-0,V1.CD36-0,V1.CD53-0,V1.CD54-0,V1.CD7-4,V1.FI19,V1.FI21,V1.UC25-1,V1.UC31-4,V1.UC34-0,V1.UC35-0,V1.UC49-1,MH0003,MH0019,MH0462,MH246,O2.UC20-0,O2.UC20-2,MH0159,MH0221,MH0234,MH336,MH343,O2.CD2-0-PT,O2.UC18-0,O2.UC23-2,O2.UC26-0,O2.UC26-1,O2.UC26-2,V1.CD12-0,V1.CD12-3,MH0072,MH0160,MH0456,O2.CD1-0-PT,O2.UC23-0,V1.CD11-0,V1.CD21-0,V1.CD25-0,V1.CD25-4,V1.CD35-0,V1.CD35-1,V1.CD48-0,V1.CD5-0-PN,V1.FI22,V1.FI33,MH341,V1.FI37,159490532-stool1,764508039-stool1,765074482-stool1,MH0088,MH0128,MH0196,MH0290,MH0340,MH0382,MH311,MH373,MH387,O2.UC19-2,O2.UC30-2,O2.UC5-0,O2.UC5-1,O2.UC8-0,O2.UC8-1,V1.CD1-0,V1.CD3-0,V1.CD49-0,V1.FI35,V1.UC22-1,V1.UC50-1,763961826-stool1,O2.UC53-2,O2.UC54-2,160158126-stool1,765074482-stool2,604812005-stool2,O2.UC37-0,V1.UC18-0,158944319-stool1,158944319-stool2,160158126-stool2,160218816-stool1,604812005-stool1,686765762-stool1,686765762-stool2,763577454-stool1,763577454-stool2,MH0010,MH0067,MH0115,MH0433,MH395,O2.UC37-1,O2.UC37-2,V1.CD4-0,V1.CD52-0,V1.FI08,V1.FI13,V1.FI28,V1.UC47-0,V1.UC47-4,160704339-stool1,V1.CD27-0,V1.FI20,O2.UC5-2,V1.UC61-0,O2.UC19-1,158458797-stool1,159247771-stool1,160765029-stool1,764184357-stool1,765034022-stool1,MH0011,MH0017,MH0066,MH0076,MH0082,MH0083,MH0090,MH0092,MH0101,MH0116,MH0133,MH0181,MH0193,MH0302,MH0314,MH0431,MH0441,MH0448,MH0458,O2.UC11-0,O2.UC48-1,V1.CD22-0,V1.FI14,V1.FI15,V1.UC29-0,V1.UC30-0,V1.UC36-0,V1.UC45-0,V1.UC55-4,MH0069,MH0102,MH0280,MH0366,MH0375,MH293,MH391,O2.UC29-0,O2.UC29-2,V1.FI30,764487809-stool1,764649650-stool1,765013792-stool1,MH0036,MH0051,MH0057,MH0170,MH0185,MH0430,V1.CD37-4,V1.FI10,V1.UC14-1,MH376,159915365-stool1,404239096-stool1,765640925-stool1,765701615-stool1,823052294-stool1,861967750-stool1,MH0001,MH0006,MH0012,MH0014,MH0023,MH0025,MH0045,MH0050,MH0054,MH0079,MH0085,MH0091,MH0093,MH0095,MH0098,MH0106,MH0119,MH0124,MH0137,MH0141,MH0144,MH0148,MH0151,MH0152,MH0163,MH0165,MH0167,MH0172,MH0179,MH0195,MH0200,MH0205,MH0222,MH0224,MH0257,MH0284,MH0301,MH0347,MH0354,MH0400,MH0412,MH0421,MH0427,MH0429,MH0450,MH192,MH283,MH328,MH338,MH372,MH384,MH394,O2.CD1-0,O2.CD2-0,O2.UC16-0,O2.UC16-1,O2.UC16-2,O2.UC43-0,O2.UC43-1,O2.UC43-2,V1.CD-PT2-0,V1.CD32-0,V1.CD32-4,V1.CD34-0,V1.CD44-4,V1.UC12-4,V1.UC23-1,V1.UC28-0,V1.UC38-0,V1.UC53-0,V1.UC53-4,V1.UC57-0,V1.UC59-4,V1.UC60-0,MH0032,MH0055,MH0104,MH0105,MH0138,MH0220,MH0308,MH0330,MH0348,MH0399,MH374,MH377,O2.UC13-0,O2.UC13-1,O2.UC14-2,MH0197,MH325,MH0365,160502038-stool1,763435843-stool1,MH0008,MH0041,MH0044,MH0049,MH0081,MH0097,MH0161,MH0265,MH0313,MH0315,MH0323,MH0411,MH0432,MH0452,MH259,MH261,MH359,MH360,O2.UC34-0,V1.CD-PT3-0,V1.CD-PT4-0,V1.CD10-0,V1.CD18-0,V1.CD18-3,V1.CD41-0,V1.CD45-0,V1.CD6-0-PN,V1.CD7-0-PN,V1.FI17,V1.UC26-0,V1.UC26-4,V1.UC3-0,V1.UC56-0,V1.UC56-1,MH0419,MH327,V1.FI24,V1.FI27,V1.UC21-0,V1.UC21-4,159490532-stool2,160400887-stool1,763678604-stool1,MH0007,MH0028,MH0039,MH0176,MH0253,MH0403,O2.UC11-1,O2.UC11-2,O2.UC28-1,O2.UC48-2,O2.UC55-0,O2.UC55-2,V1.CD14-0,V1.CD42-0,V1.CD8-0,V1.CD9-0,V1.UC13-3,V1.UC43-0,V1.UC62-0,MH0047,MH0140,MH0238,MH0438,O2.UC28-0,O2.UC28-2,MH0247,MH0177,MH0281,MH367,V1.CD43-0,V1.CD51-0,V1.CD8-0-PN,V1.FI11,V1.UC48-0,V1.UC49-0,V1.UC51-0,O2.UC49-2,V1.CD19-0,158499257-stool1,158499257-stool2,159227541-stool1,159227541-stool2,159227541-stool3,675950834-stool1,763597684-stool1,764892411-stool1,MH0018,MH0046,MH0084,MH0108,MH0164,MH0187,MH0191,MH0245,MH0322,MH0332,MH0334,MH0356,MH0405,MH0417,MH0436,MH299,MH383,MH392,O2.UC15-1,O2.UC15-2,O2.UC17-0,O2.UC17-1,O2.UC18-1,O2.UC19-0,O2.UC44-1,O2.UC46-2,V1.CD13-0,V1.CD16-0,V1.CD30-0,V1.CD44-0,V1.CD50-0,V1.FI12,V1.UC12-0,V1.UC39-0,V1.UC4-0,MH0154,MH0243,MH0319,MH0443,O2.UC38-0,O2.UC38-2,O2.UC44-0,O2.UC44-2,V1.CD40-0,V1.FI06,MH0034,MH0316,MH371,O2.UC6-0,O2.UC6-1,O2.UC6-2,V1.UC25-0,V1.FI32,V1.UC3-2,MH0033,MH0064,MH0094,MH0270,V1.CD28-0,V1.UC39-4,V1.UC7-0,MH0423,O2.UC49-0,MH0080,MH0037,MH0061,MH0074,MH0058,MH0100,MH0153,MH0070,MH0364,MH0262,MH363,V1.UC10-0,V1.UC10-2,MH0009,MH0052,MH0053,MH0056,MH0063,MH0078,MH0118,MH357,O2.UC18-2,V1.CD2-0,MH0143,MH0183,O2.UC24-0,O2.UC1-2,O2.UC52-2,MH0175,MH0321,O2.UC60-0,O2.UC60-2,O2.UC1-0,O2.UC1-1,MH0233,MH358,MH0211,MH0129,MH349,V1.UC6-0,763759525-stool1,MH0396,MH0397,MH0434,V1.UC17-2,MH368,160603188-stool1,MH0203,MH0457,MH0408,V1.UC19-0,MH0035,MH0111,MH0318,MH0059,V1.UC37-0,MH0022,MH0060,MH0126,MH0145,MH0437,MH0442,O2.UC40-0,O2.UC40-1,O2.UC58-2,V1.UC63-0,V1.UC27-0,MH0021,MH0004,MH0005,MH0030,MH0103,MH0130,MH0252,MH0264,MH0286,MH0307,O2.UC12-1,V1.UC14-0,MH0031,MH0096,MH0120,MH0132,MH0173,MH0189,MH0276,MH0329,MH0402,MH0407,MH0413,MH0428,MH303,MH355,MH385,O2.UC24-1,O2.UC24-2,V1.FI09,V1.UC41-0,MH0447,159166850-stool1,159268001-stool1,159268001-stool2,MH0077,V1.CD-PT6-0,MH0409,MH0439,MH378,O2.UC57-0,O2.UC57-2,763678604-stool2,MH0113,MH0398,MH390,O2.UC40-2,764487809-stool2,MH0381,MH0042,MH0043,V1.UC51-4,MH0117,MH0157,MH0169,MH0414,O2.UC52-0,MH0065,MH0389,O2.UC38-1,V1.FI31,V1.UC58-0,MH0288,V1.FI07,V1.FI16,V1.UC17-0,158883629-stool1,159369152-stool1,159369152-stool2,159753524-stool1,159753524-stool2,160421117-stool1,550534656-stool1,763536994-stool3,764325968-stool1,764447348-stool1,764447348-stool2,764669880-stool1,764669880-stool2,765094712-stool1,765094712-stool2,765135172-stool1,765620695-stool1,809635352-stool1,MH0016,MH0150,MH0266,MH0289,MH0297,MH0406,MH0426,MH0453,MH271,MH370,O2.UC22-2,O2.UC36-1,V1.CD31-0,V1.CD6-0,V1.FI18,V1.UC1-0,V1.UC11-0,V1.UC46-0,V1.UC59-0,763536994-stool1,MH0239,MH0184,O2.UC36-0,763860675-stool2,763860675-stool1,MH0020,MH0135,O2.UC22-0,O2.UC22-1,O2.UC36-2,V1.FI02,V1.UC31-0,V1.UC33-0,O2.UC23-1,MH0121,V1.CD3-0-PN,V1.CD3-3-PN,MH350,158924089-stool1,159611913-stool1,159611913-stool2,160319967-stool1,764042746-stool1,764143897-stool1,764143897-stool2,MH0027,MH0146,MH0180,O2.UC3-2,O2.UC35-1,O2.UC54-0,O2.UC59-0,O2.UC59-2,V1.CD2-0-PN,V1.CD24-0,V1.FI01,V1.FI04,V1.UC38-4,763961826-stool2,V1.CD17-0,V1.CD38-0,MH0418,MH345,O2.UC3-0,O2.UC3-1,V1.FI26,V1.UC42-0,V1.UC5-3,V1.UC8-0,159571453-stool1,O2.UC30-1,V1.UC5-0,V1.CD17-4,158337416-stool1,158479027-stool1,158742018-stool1,508703490-stool1,638754422-stool2,764062976-stool1,764062976-stool2,MH0158,MH0198,MH0251,MH0268,MH0351,MH0369,MH0422,MH0445,MH0454,MH361,O2.UC47-2,V1.CD1-0-PN,V1.UC24-0,V1.UC64-0,MH0149,MH342,158337416-stool2,159207311-stool1,638754422-stool1,MH339,159571453-stool2,159632143-stool1,MH0026,MH0075,MH0089,MH0204,MH0277,MH0298,MH346,V1.FI29,V1.FI34,V1.FI36,763536994-stool2,MH0147,159207311-stool2,MH0217,MH0435,158256496-stool1,764042746-stool2,MH337,O2.UC13-2,O2.UC17-2,O2.UC50-2,O2.UC53-0,V1.CD1-3-PN,V1.CD20-0,V1.CD20-4,V1.UC13-0,706846339-stool1,763496533-stool2,MH0250,MH0425,158802708-stool1,158802708-stool2,763496533-stool1,764224817-stool1,764224817-stool2,MH0326,MH0404,O2.UC46-0,O2.UC46-1,O2.UC47-1,V1.UC4-5,V1.UC44-0,V1.UC54-0,V1.UC54-4,MH0168,MH0073,O2.UC14-0,O2.UC14-1,O2.UC47-0,764325968-stool2,MH0038,MH0099,MH0142,V1.UC11-5,O2.UC41-1,V1.CD4-0-PN,O2.UC12-0,MH0401,O2.UC50-0,160582958-stool1,MH0125,MH0275,763759525-stool2,MH0206,MH0440,O2.UC51-2,O2.UC51-0,O2.UC35-0,O2.UC35-2,O2.UC41-0,V1.UC52-1,O2.UC41-2,V1.UC52-0,764588959-stool1,MH0415,V1.UC40-0,V1.UC40-1,MH0274,O2.UC12-2,O2.UC58-0,MH0107,MH0244,MH0272,MH0260,V1.CD29-0
K02663,,,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K03006,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K03283,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
