,Carbohydrate metabolism,Energy metabolism,Lipid metabolism,Nucleotide metabolism,Amino acid metabolism,Metabolism of other amino acids,Glycan biosynthesis and metabolism,Metabolism of cofactors and vitamins,Metabolism of terpenoids and polyketides,Biosynthesis of other secondary metabolites,Xenobiotics biodegradation and metabolism,Transcription,Translation,"Folding, sorting and degradation",Replication and repair,Chromosome,Information processing in viruses,Membrane transport,Signal transduction,Signaling molecules and interaction,Transport and catabolism,Cell growth and death,Cellular community - eukaryotes,Cellular community - prokaryotes,Cell motility,Immune system,Endocrine system,Circulatory system,Digestive system,Excretory system,Nervous system,Sensory system,Development and regeneration,Aging,Environmental adaptation,Cancer: overview,Cancer: specific types,Infectious disease: viral,Infectious disease: bacterial,Infectious disease: parasitic,Immune disease,Neurodegenerative disease,Substance dependence,Cardiovascular disease,Endocrine and metabolic disease,Drug resistance: antimicrobial,Drug resistance: antineoplastic
Cheek,-1.1289644051460483,0.0,-0.09425591845741861,0.0,-0.14304608262685076,0.0,-0.2884119328983762,0.0,1.236468591507661,0.0,1.1247096704546584,0.0,0.0,0.0,0.0,0.0,0.0,0.3383601787166963,-1.0715073501212609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8131458659994905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forehead,-1.1054339077358541,-0.7494838641550704,0.6224217595127206,-0.4274003649859569,0.10362796609755329,-0.3275800297037461,-0.26488143548818205,-0.12178059184750867,1.2599990889178552,0.7437826165169881,1.266023203521236,0.0,0.0,-0.22589598877522846,0.0,0.0,1.779874548203764,0.17956911933293596,-1.7411240332710123,0.0,-0.9461941584011245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2459441882778085,0.0,0.0,0.0,0.0,-0.5227105447902818,0.0,0.0,0.14352918284973917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nose,-0.5032585053816356,-0.8404556423607971,0.5314499813069941,0.0,0.19497774468578108,0.2745953726504725,-0.3558532136939089,0.07492970239854548,1.1690273107121287,0.0,1.4627334977672906,0.0,0.0,-0.3168677669809552,0.0,0.0,0.0,-0.13454621018700041,-1.1389486309167935,0.0,-0.34401875604690585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07946485756393677,0.0,0.0,0.7457045852039577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine,0.47439152819070135,0.7622073709590487,-1.3660243348902195,-0.1811908707749809,0.5020955653624984,0.87747184173382,-0.7070685190785533,0.48853603557686603,0.5408044641226227,0.37487671710434456,0.6488786856520454,-0.764226932918502,0.0,-0.36928823779732517,0.0,0.0,0.0,0.928787259770446,0.32072250527248986,-0.2586783662533551,-0.8648141698236705,-1.3185376686242314,-0.6162301186656219,-0.26305474085315383,-0.8257848259179353,-1.2782221314457718,0.08307092746870158,0.17345498893697056,0.4056483757710983,0.0,-0.23650450875903306,0.20085396312508505,0.0,0.0,0.676428637420276,-0.8576112575296126,0.0,-0.8672036572210522,0.06169606788396823,0.0,0.0,-0.606985060521571,0.18706064099274938,-0.8307476152600644,-0.8405999117030759,0.0,0.0
Mouse gut,-0.41231665740538465,-0.7133337181455854,0.3885412161573405,0.4016993007348516,-0.3264250117972445,0.0,0.364326958036746,-0.3208137746294581,-0.2543441296217165,0.0,-0.13398044737184125,0.0,-0.45031777558399855,0.40834384345352026,-0.14554126977291734,0.0,0.0,0.8489652085462625,0.2648621199758296,0.0,0.07187160683230744,0.0,0.0,-0.22292793338833747,0.0028787353453558645,0.0,0.40834384345352026,1.835460199093666,1.2758444111582434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40834384345352026,0.0,0.0,0.0,0.9026401652683004,0.0
Pig gut,0.6801121419290643,0.04045364632010521,0.04045364632010521,0.5379376531485218,-0.814662862184896,-0.31622129761862705,0.22939044223277913,0.562329106272681,0.0,0.778552214742317,1.1501157711748,-0.40451390476430527,-1.0763079608536816,-0.30461575149831915,0.0,0.0,0.0,-0.1848852955575401,0.33918555495847125,0.0,-0.15370236812085208,0.43498968389607956,0.6392901474088094,-0.6744335208762458,-0.3974467375412129,-0.1121259412751118,0.8877515067073091,0.0,0.0,0.7671235189186941,0.2608537116885642,0.0,0.9137269931105697,0.9403952401927309,0.33180544766084874,-0.4458991209271597,0.49087014229053605,-0.17164006880751945,0.0,0.0,0.0,0.5500590136808666,1.2554762868326264,0.2886332757956401,0.36165841081052985,0.47377570893123594,0.8624336987230191
Human gut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.437385131816018,0.0,1.0692730897793177,1.4565558788042916,0.0,0.0,1.9319795755193665,0.8873338690634291,0.0,1.2497614654916114,0.0,0.0,0.0,0.0,1.999420856314899,1.8287953392841356,0.0,0.0,0.0,0.0,0.0,0.0,2.898420091078993,0.0,0.0,0.0,1.2120211375087642,1.312104596065747,2.9274076279522454,0.0,2.2269344073002273,0.0,2.1771020335523517,0.0,0.0,0.0
