,Carbohydrate metabolism,Energy metabolism,Lipid metabolism,Nucleotide metabolism,Amino acid metabolism,Metabolism of other amino acids,Glycan biosynthesis and metabolism,Metabolism of cofactors and vitamins,Metabolism of terpenoids and polyketides,Biosynthesis of other secondary metabolites,Xenobiotics biodegradation and metabolism,Transcription,Translation,"Folding, sorting and degradation",Replication and repair,Chromosome,Information processing in viruses,Membrane transport,Signal transduction,Signaling molecules and interaction,Transport and catabolism,Cell growth and death,Cellular community - eukaryotes,Cellular community - prokaryotes,Cell motility,Immune system,Endocrine system,Circulatory system,Digestive system,Excretory system,Nervous system,Sensory system,Development and regeneration,Aging,Environmental adaptation,Cancer: overview,Cancer: specific types,Infectious disease: viral,Infectious disease: bacterial,Infectious disease: parasitic,Immune disease,Neurodegenerative disease,Substance dependence,Cardiovascular disease,Endocrine and metabolic disease,Drug resistance: antimicrobial,Drug resistance: antineoplastic
Cheek,0.9598724900765547,1.0,0.6721804111261402,1.0,0.6797279187837205,1.0,0.7428494350243628,1.0,0.05600316208932929,1.0,0.040067236708756455,1.0,1.0,1.0,1.0,1.0,1.0,0.3617982074819645,0.9516677004890486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2221904819093048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Forehead,0.986030216221281,0.9297559649484021,0.1674358518277098,0.7884678577413916,0.472364662447445,0.7545265123477068,0.7399109520634308,0.664603968337845,0.007070212020125554,0.1710314072823614,0.000943081878218209,1.0,1.0,0.7199418667605322,1.0,1.0,0.1558897918968887,0.40687614408384754,0.9973413486671125,1.0,0.9276562625434894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5455344743194778,1.0,1.0,1.0,1.0,0.819189878595963,1.0,1.0,0.5199961529904936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nose,0.8532093035552024,0.9077137726639214,0.32942944072006547,1.0,0.4516505793718246,0.5359749948755855,0.7661433556605716,0.5591272862530252,0.06595949817960635,1.0,0.0024548750933101504,1.0,1.0,0.752572362679669,1.0,1.0,1.0,0.6746091655869269,0.9608943297422963,1.0,0.7620471492168132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6073944079549826,1.0,1.0,0.24514633591344137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Marine,0.06053905232457847,0.005608199602267041,0.9817941330246506,0.6956678489028097,0.06932269472400643,0.05743341681067094,0.9171626733064437,0.11846534047510579,0.20446418487454757,0.40086972801161475,0.09441321304521626,0.8867946655322292,1.0,0.8143367072850886,1.0,1.0,1.0,0.0018476000170253397,0.12621721490918908,0.7300344853801419,0.9540075824119363,0.9780136899669946,0.8468866567943324,0.7379836679021329,0.9015467601370202,0.9743765436250378,0.5048463321055123,0.571911189728813,0.32318895134764086,1.0,0.7244612801617285,0.5619480277667503,1.0,1.0,0.14650044601303547,0.9526349803124111,1.0,0.9544566794603343,0.5217290294955307,1.0,1.0,0.8861199292637678,0.5669580300317306,0.9026863290479703,0.9049263607828744,1.0,1.0
Mouse gut,0.8865252735429823,0.9214662539923341,0.3326831059302429,0.32533734621065263,0.8159902313133722,1.0,0.301942175922551,0.7912503217704524,0.7300906480238385,1.0,0.6727409060444756,1.0,0.7973518435782919,0.3853792469845208,0.6907406449036717,1.0,1.0,0.006583809504085779,0.28927662122489217,1.0,0.6104596964348313,1.0,1.0,0.7199030174789838,0.6359965049300995,1.0,0.48941188634614874,0.14851219156859033,0.24540742128489884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48941188634614874,1.0,1.0,1.0,0.1942922999894246,1.0
Pig gut,0.01660199241138913,0.540379590426819,0.5768679278829288,0.25532180913256874,0.9458978967696339,0.751456865109351,0.4285242798904845,0.12598293930211496,1.0,0.23378005292656873,0.020704352297533916,0.7817194723381955,0.9506879230433536,0.7608935402410262,1.0,1.0,1.0,0.707457353055553,0.20777147292969209,1.0,0.6829285914689557,0.3072263086250371,0.4127725917810489,0.864664135339056,0.7793430181603266,0.677982561857383,0.1257679751264106,1.0,1.0,0.3739088920930018,0.5409117860804197,1.0,0.332510139802756,0.3253525902223191,0.5156405709791745,0.7954570745651175,0.4609109691188276,0.6925036665728804,1.0,1.0,1.0,0.24963015452805465,0.2494804352880616,0.5309633150083432,0.5051521493724244,0.4666476082164992,0.3466012486781139
Human gut,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012531458140446879,1.0,0.29459389903920774,0.20999181949411144,1.0,1.0,0.001859655799982073,0.19685113984773228,1.0,0.25217254003557793,1.0,1.0,1.0,1.0,0.12746482235572126,0.14948031193747333,1.0,1.0,1.0,1.0,1.0,1.0,0.053787794837506175,1.0,1.0,1.0,0.2605983696024636,0.23875546463314581,0.05228825093075102,1.0,0.0187001141770921,1.0,0.10777766407718234,1.0,1.0,1.0
