,Gene richness,Numbers of bimodal genes
Cheek,7262.086956521739,43
Forehead,7315.42803030303,84
Nose,7273.787234042553,46
Marine,8225.146496815287,124
Mouse gut,4216.130434782609,74
Pig gut,5901.3066202090595,74
American gut,4430.438848920863,8
Danish gut,4891.835411471322,16
Spanish gut,4802.3147632311975,20
