,Carbohydrate metabolism,Energy metabolism,Lipid metabolism,Nucleotide metabolism,Amino acid metabolism,Metabolism of other amino acids,Glycan biosynthesis and metabolism,Metabolism of cofactors and vitamins,Metabolism of terpenoids and polyketides,Biosynthesis of other secondary metabolites,Xenobiotics biodegradation and metabolism,Transcription,Translation,"Folding, sorting and degradation",Replication and repair,Chromosome,Information processing in viruses,Membrane transport,Signal transduction,Signaling molecules and interaction,Transport and catabolism,Cell growth and death,Cellular community - eukaryotes,Cellular community - prokaryotes,Cell motility,Immune system,Endocrine system,Circulatory system,Digestive system,Excretory system,Nervous system,Sensory system,Development and regeneration,Aging,Environmental adaptation,Cancer: overview,Cancer: specific types,Infectious disease: viral,Infectious disease: bacterial,Infectious disease: parasitic,Immune disease,Neurodegenerative disease,Substance dependence,Cardiovascular disease,Endocrine and metabolic disease,Drug resistance: antimicrobial,Drug resistance: antineoplastic
Cheek,0.9810398174409024,1.0,0.7472362501467364,1.0,0.5469683923394559,1.0,0.8126371699603264,1.0,0.09203661276155982,1.0,0.0010055295073952799,1.0,1.0,1.0,1.0,1.0,0.10127375587437158,0.4950258557657291,0.9761506572018505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2988837147828324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Forehead,0.836131048092684,0.9597740854229091,0.10248998996008506,0.531503878758616,0.07577885454043776,0.4782968980419637,0.8083177516906124,0.5538842120754509,0.013858116059291513,0.08283193090815213,3.3660239634730244e-05,1.0,1.0,0.7904977820979847,1.0,1.0,0.1778374097629339,0.5327027176137772,0.9989425599817071,1.0,0.9519071832276603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.597970695574262,1.0,1.0,1.0,1.0,0.8614037898334133,1.0,1.0,0.3234875095647453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nose,0.9137601853796725,0.9421717578077009,0.05154727233658968,1.0,0.5723771042102552,0.6008522404302149,0.8241399245973529,0.3835942263787371,0.1001641170026903,1.0,0.0002248102838995071,1.0,1.0,0.8118642226092045,1.0,1.0,0.1048968182755511,0.7663151558360674,0.9792943328024017,1.0,0.8204490355097166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6731782562104152,1.0,1.0,0.31416465561200035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Marine,0.11644288244979581,0.005195438702626511,0.532540378892484,0.40995929360382144,0.18973573790905804,0.07280177349560024,0.5690924715709518,0.08996373833948922,0.5852375476930066,0.6975695289046213,0.3101096008522304,0.7296452874124146,0.7923482098754494,0.8816237845175693,0.7868167472288127,0.8006206046445016,1.0,0.001682760878872502,0.26931537256532767,0.6659152441255629,0.9229448051809102,0.9617156697972802,0.9630550064999701,0.304523866947196,0.9829996290882005,0.9878666649237162,0.46603611028019754,0.4346524987203817,0.46515893300857325,1.0,0.45694963434598773,0.7656057758160864,0.6932036887539187,1.0,0.14666722858119294,0.9679190555397407,0.959090812341295,0.9908720910877745,0.48849640442187076,0.8234182171883722,1.0,0.9580410794666018,0.7702971193549082,0.5735276325294566,0.7756780547570072,0.14360121817392626,1.0
Mouse gut,0.4039878860166438,0.7754994635689456,0.3959058983685411,0.6148208804145108,0.6491198209014765,0.5072727621510225,0.26929866273512193,0.6367538501433686,0.8726654739332123,1.0,0.4847274920690453,1.0,0.710718028058835,0.6217583537567853,0.842253964628852,1.0,1.0,0.0318107975291114,0.7478640677172967,1.0,0.7731774339694809,1.0,1.0,0.5554002094999154,0.7961329821418625,1.0,0.6527691286742355,0.2235207733247645,0.06991252862126539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6527691286742355,1.0,1.0,1.0,0.3644816846482108,0.2397382004573406
Pig gut,0.07767612799249922,0.0842375203357899,0.45517793953464375,0.20698841630048043,0.9158201764817007,0.4496168794131806,0.25794204425385076,0.008251300301749084,0.5529522939002579,0.2281831528181437,0.06515667767348059,0.756215742587687,0.9956286768787089,0.7247178585454597,0.7919383593369977,1.0,0.2781371054866102,0.8954469537500762,0.32647483946605016,1.0,0.7960787198393189,0.6836117753547595,0.6174429771639474,0.8729946431606334,0.7527210581981554,0.8706672939618599,0.3834375894204069,1.0,1.0,0.5705307050622306,0.4047924708660047,1.0,0.5179141271746035,0.5085429753058838,0.7297749099826616,0.5361185219374387,0.6721713638608996,0.8059944986785781,0.9707379377635746,1.0,0.36894037307334054,0.606249073622757,0.4042960682433952,0.7450086138523306,0.7191207408205282,0.10093897366082345,0.1753380396009375
Human gut,1.0,0.6199281091423289,1.0,1.0,1.0,1.0,1.0,0.562266336881726,1.0,1.0,0.3619116908592342,0.029127925206917253,1.0,0.09700881919582768,0.3054148788361257,1.0,1.0,0.010432684734251808,0.36726691808563855,1.0,0.3619116908592342,1.0,1.0,1.0,1.0,0.018069759236713986,0.024892612516763463,1.0,1.0,1.0,0.14708642694663596,1.0,1.0,0.08193087096267467,0.15127159333259796,0.2808101725277584,1.0,0.3729932187901117,0.34412472272312167,0.07968037706308785,1.0,0.0002762575074058508,1.0,0.0006435559326244174,0.14498656731710546,1.0,1.0
