,Carbohydrate metabolism,Energy metabolism,Lipid metabolism,Nucleotide metabolism,Amino acid metabolism,Metabolism of other amino acids,Glycan biosynthesis and metabolism,Metabolism of cofactors and vitamins,Metabolism of terpenoids and polyketides,Biosynthesis of other secondary metabolites,Xenobiotics biodegradation and metabolism,Transcription,Translation,"Folding, sorting and degradation",Replication and repair,Chromosome,Information processing in viruses,Membrane transport,Signal transduction,Signaling molecules and interaction,Transport and catabolism,Cell growth and death,Cellular community - eukaryotes,Cellular community - prokaryotes,Cell motility,Immune system,Endocrine system,Circulatory system,Digestive system,Excretory system,Nervous system,Sensory system,Development and regeneration,Aging,Environmental adaptation,Cancer: overview,Cancer: specific types,Infectious disease: viral,Infectious disease: bacterial,Infectious disease: parasitic,Immune disease,Neurodegenerative disease,Substance dependence,Cardiovascular disease,Endocrine and metabolic disease,Drug resistance: antimicrobial,Drug resistance: antineoplastic
Cheek,0.9212560522005253,1.0,1.0,1.0,0.8471471142058626,1.0,0.6581530340403909,1.0,0.15064295087822632,1.0,0.08220834641286345,1.0,1.0,1.0,1.0,1.0,1.0,0.23812292311649966,0.9087834783087864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5082086756833902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Forehead,0.9947081106924534,0.8743796213231215,0.2654254833028796,0.7257300997800703,0.5223663699715457,0.6895441911132396,0.8906969533423702,0.5408185551260518,0.053359313251937726,0.333911721798024,0.00024107002686866503,1.0,1.0,0.6227241787559039,1.0,1.0,1.0,0.46238992222362996,0.9928334019118563,1.0,0.8877668793454903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7593307202402492,1.0,1.0,0.42524225749313455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nose,0.9497586021212494,0.8739993731498739,0.2724826211206936,1.0,0.6406568795718894,1.0,0.7172427575353795,0.8079555125489947,0.046831768887747656,1.0,0.006743533355634024,1.0,1.0,0.7030312566176582,1.0,1.0,1.0,1.0,0.9402677347277304,1.0,0.7129421398417404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5563743539483272,1.0,1.0,0.19942727821132442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Marine,0.0710320047112798,0.05559656536433309,1.0,0.7872959411880747,0.02521114019712632,0.14666177310885373,0.9284181431299982,0.3818161988222058,0.4388796415809571,0.2182531958091454,0.13946743891865335,1.0,1.0,1.0,1.0,1.0,1.0,0.04479380026957024,0.019380392410736268,0.5650450385208375,0.9547890744108863,1.0,0.6967084861510385,0.8138704956980254,0.7709481377964817,0.9026616828206662,0.6850819066473248,1.0,0.3650504620066224,1.0,0.8053984532412556,0.40831205933487835,1.0,1.0,0.3728703911588678,0.9537528483765891,1.0,1.0,0.4311635242001336,1.0,1.0,0.9076299566107735,0.4126233807988657,1.0,1.0,1.0,1.0
Mouse gut,0.9637382554952524,0.9351200775587929,0.739114810365003,0.1404176896744627,0.7087691547152626,1.0,0.5434388635226614,0.5074703570764584,0.5715140679136309,1.0,0.4397869846498327,1.0,1.0,0.5826994957041831,1.0,1.0,1.0,0.030574327108868996,0.4642367252020689,1.0,0.456697617856162,1.0,1.0,1.0,1.0,1.0,0.35272583712452665,0.0988085325830742,0.16657698356629588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41210882325633436,1.0
Pig gut,0.03572671946296869,0.7092757400736045,0.71065812409059,0.30619554236351776,0.7908792296934262,0.5862391828089201,0.7866750294602303,0.17063602833166125,1.0,0.4449718563552922,0.26622082459842566,0.6189281254710276,0.8515808052569207,0.8281050374846807,1.0,1.0,1.0,1.0,0.15002893853126728,1.0,0.7791349502523677,0.3507361547107769,0.28641411041901516,1.0,0.616303509688076,0.5124186634553849,0.04316930332734211,1.0,1.0,0.25682967041833893,0.3895128062505586,1.0,0.22604584486265256,0.220795289826357,0.3684201687623727,0.6343107731972364,0.3240731514803896,0.4481984742460216,1.0,1.0,1.0,0.30120975890022006,0.16633476819892612,0.38115980339545497,0.3597848501432484,0.3286415382909189,0.23644328158869332
Human gut,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10610242848628157,1.0,0.1990962924952079,1.0,1.0,1.0,0.00023356388373431695,0.42012643515728787,1.0,0.16878164862007836,1.0,1.0,1.0,1.0,0.08308878549398481,0.09787523138610117,1.0,1.0,1.0,1.0,1.0,1.0,0.03456203541925237,1.0,1.0,1.0,0.17475196972561474,0.15932491898634088,0.03358895179764471,1.0,0.12950964345301494,1.0,0.06998071574886852,1.0,1.0,1.0
