,Protein families: metabolism,Protein families: genetic information processing,Protein families: signaling and cellular processes,Viral protein families,RNA family
Cheek,16.0,4.0,10.0,0.0,0.0
Forehead,26.0,7.0,11.0,0.0,0.0
Nose,15.0,5.0,6.0,0.0,0.0
Marine,16.0,12.0,18.0,0.0,0.0
Mouse gut,12.0,6.0,16.0,0.0,0.0
Pig gut,6.0,8.0,17.0,0.0,0.0
Human gut,1.0,1.0,7.0,0.0,0.0
