,Protein families: metabolism,Protein families: genetic information processing,Protein families: signaling and cellular processes,Viral protein families,RNA family
Cheek,18.0,4.0,10.0,0.0,0.0
Forehead,31.0,8.0,16.0,1.0,0.0
Nose,16.0,5.0,8.0,0.0,0.0
Marine,23.0,24.0,29.0,0.0,0.0
Mouse gut,18.0,12.0,24.0,0.0,0.0
Pig gut,15.0,11.0,25.0,0.0,0.0
Human gut,2.0,2.0,8.0,0.0,0.0
