	K11707	K11708	K11709	K11710	K12436	K09802	K07671	K03289	K03283	K03006	K02663
Arthritis high	0.46526236696400003	0.5973628094002039	0.46982743311372044	0.6517895175501449	0.30545953529790837	0.5296061263253805	0.7068842919632179	0.44363889880010565	0.023336112628603228	0.00015266445296901378	0.7420975883406007
Arthritis moderate	0.006035370348764013	0.00333772923474746	0.00923714983539367	0.1530366231601319	0.5433915383429979	0.23050622292427214	0.9845047235435204	0.9673940295359538	0.08134130351144683	0.0775716898387976	0.4750220223648425
Colorectal cancer advanced adenoma	0.26090099494829655	0.19741945141445605	0.35239859658374717	0.6826447159401151	0.5101835390364835	0.7536781652740245	0.2657387115003116	0.76961878040378	0.11345951958106161	0.21328223638369959	0.2519558270681269
Colorectal cancer carcinoma	0.004380336131726347	0.006064022114289173	0.004879994176860728	0.142354771569871	0.05377847288911108	1.7859621086883698e-05	0.029096809486137704	0.0002959802600023276	0.42802570580434784	0.9653480651940999	0.6494655593132153
Crohn's disease	0.009436412581224431	0.024050066260507205	0.015608141152864867	0.018632117669232093	0.007951070748746597	0.26004917572519093	0.06705332144368707	0.04183246987423305	0.007383092843812337	0.12534517980149945	0.8126992193914502
Liver cirrhosis	7.772413867643778e-28	2.572481944353743e-27	2.62600038893597e-27	1.2475835684464768e-24	0.8201227439971764	1.0070584512983113e-05	2.0685278939171124e-05	0.00726265827379124	0.6908747834515108	0.018019810929885027	0.010931308843180672
Obesity	0.46008807925457607	0.5859046905594357	0.6350316115265975	0.9981689738985748	0.01991131369903189	0.3178331974482348	0.09546275606971	0.8443225158413485	0.2659139502294572	0.965751276552405	4.459427899688987e-18
Type 2 diabetes	0.8907048555343974	0.7452740381822031	0.6567228298752568	0.4945149944542495	0.8385268141775191	0.11012445813457242	0.10294721044966064	0.43085408162716243	0.0020576665934635596	0.5839969185588125	0.024071378357017524
Ulcerative colitis	0.028233250042720915	0.030882956043953594	0.2308203050255211	0.10795354711591172	0.4600691992342101	0.2936514403827287	0.3481186029829224	0.24344839288313913	0.015484247367275734	0.3523508446586371	0.3001910149083097
