gene1	K00006
gene2	K00025
gene3	K00026
gene4	K00234
gene5	K00235
gene6	K00254
gene7	K00288
gene8	K00328
gene9	K00565
gene10	K00637
gene11	K00649
gene12	K00670
gene13	K00671
gene14	K00698
gene15	K00710
gene16	K00726
gene17	K00814
gene18	K00861
gene19	K00888
gene20	K00889
gene21	K00898
gene22	K00900
gene23	K00914
gene24	K00922
gene25	K00953
gene26	K00993
gene27	K01099
gene28	K01102
gene29	K01106
gene30	K01109
gene31	K01110
gene32	K01196
gene33	K01230
gene34	K01296
gene35	K01363
gene36	K01365
gene37	K01366
gene38	K01392
gene39	K01514
gene40	K01528
gene41	K01530
gene42	K01836
gene43	K01855
gene44	K01899
gene45	K01900
gene46	K01930
gene47	K01969
gene48	K02090
gene49	K02144
gene50	K02145
gene51	K02146
gene52	K02147
gene53	K02148
gene54	K02149
gene55	K02150
gene56	K02154
gene57	K02155
gene58	K02180
gene59	K02183
gene60	K02184
gene61	K02202
gene62	K02208
gene63	K02210
gene64	K02212
gene65	K02218
gene66	K02320
gene67	K02321
gene68	K02324
gene69	K02327
gene70	K02328
gene71	K02331
gene72	K02350
gene73	K02516
gene74	K02537
gene75	K02540
gene76	K02541
gene77	K02542
gene78	K02603
gene79	K02677
gene80	K02684
gene81	K02726
gene82	K02728
gene83	K02729
gene84	K02730
gene85	K02731
gene86	K02732
gene87	K02735
gene88	K02736
gene89	K02737
gene90	K02738
gene91	K02739
gene92	K02868
gene93	K02870
gene94	K02872
gene95	K02873
gene96	K02880
gene97	K02882
gene98	K02883
gene99	K02894
gene100	K02898
gene101	K02901
gene102	K02912
gene103	K02925
gene104	K02932
gene105	K02934
gene106	K02937
gene107	K02938
gene108	K02940
gene109	K02941
gene110	K02949
gene111	K02951
gene112	K02953
gene113	K02955
gene114	K02957
gene115	K02958
gene116	K02960
gene117	K02964
gene118	K02981
gene119	K02983
gene120	K02984
gene121	K02985
gene122	K02987
gene123	K02989
gene124	K02991
gene125	K02993
gene126	K02995
gene127	K02997
gene128	K02998
gene129	K02999
gene130	K03002
gene131	K03004
gene132	K03006
gene133	K03010
gene134	K03011
gene135	K03013
gene136	K03015
gene137	K03018
gene138	K03021
gene139	K03022
gene140	K03027
gene141	K03030
gene142	K03032
gene143	K03037
gene144	K03038
gene145	K03061
gene146	K03062
gene147	K03063
gene148	K03083
gene149	K03094
gene150	K03097
gene151	K03107
gene152	K03115
gene153	K03130
gene154	K03145
gene155	K03163
gene156	K03164
gene157	K03165
gene158	K03178
gene159	K03233
gene160	K03240
gene161	K03246
gene162	K03250
gene163	K03251
gene164	K03252
gene165	K03253
gene166	K03254
gene167	K03255
gene168	K03256
gene169	K03257
gene170	K03260
gene171	K03267
gene172	K03283
gene173	K03341
gene174	K03355
gene175	K03363
gene176	K03372
gene177	K03456
gene178	K03678
gene179	K03754
gene180	K03842
gene181	K03843
gene182	K03845
gene183	K03846
gene184	K03849
gene185	K03868
gene186	K03874
gene187	K03883
gene188	K03936
gene189	K03942
gene190	K03943
gene191	K03953
gene192	K04354
gene193	K04371
gene194	K04373
gene195	K04382
gene196	K04409
gene197	K04412
gene198	K04424
gene199	K04456
gene200	K04460
gene201	K04461
gene202	K04464
gene203	K04482
gene204	K04498
gene205	K04499
gene206	K04505
gene207	K04512
gene208	K04646
gene209	K04648
gene210	K04649
gene211	K04688
gene212	K04705
gene213	K04706
gene214	K04728
gene215	K05236
gene216	K05284
gene217	K05360
gene218	K05542
gene219	K05543
gene220	K05544
gene221	K05546
gene222	K05641
gene223	K05642
gene224	K05643
gene225	K05665
gene226	K05668
gene227	K05670
gene228	K05674
gene229	K05692
gene230	K05722
gene231	K05724
gene232	K05765
gene233	K05853
gene234	K05864
gene235	K05868
gene236	K05925
gene237	K05931
gene238	K05954
gene239	K05955
gene240	K06043
gene241	K06062
gene242	K06063
gene243	K06067
gene244	K06184
gene245	K06269
gene246	K06276
gene247	K06515
gene248	K06628
gene249	K06630
gene250	K06636
gene251	K06639
gene252	K06640
gene253	K06641
gene254	K06655
gene255	K06669
gene256	K06674
gene257	K06675
gene258	K06676
gene259	K06677
gene260	K06685
gene261	K06689
gene262	K06697
gene263	K07036
gene264	K07179
gene265	K07198
gene266	K07203
