gene401	K10738
gene402	K10743
gene403	K10746
gene404	K10751
gene405	K10752
gene406	K10754
gene407	K10755
gene408	K10756
gene409	K10770
gene410	K10772
gene411	K10846
gene412	K10848
gene413	K10858
gene414	K10865
gene415	K10872
gene416	K10873
gene417	K10878
gene418	K10891
gene419	K10949
gene420	K10956
gene421	K11088
gene422	K11092
gene423	K11093
gene424	K11094
gene425	K11099
gene426	K11121
gene427	K11124
gene428	K11131
gene429	K11136
gene430	K11166
gene431	K11185
gene432	K11204
gene433	K11247
gene434	K11251
gene435	K11252
gene436	K11253
gene437	K11254
gene438	K11267
gene439	K11273
gene440	K11304
gene441	K11319
gene442	K11320
gene443	K11322
gene444	K11338
gene445	K11366
gene446	K11380
gene447	K11393
gene448	K11412
gene449	K11422
gene450	K11434
gene451	K11446
gene452	K11450
gene453	K11481
gene454	K11490
gene455	K11498
gene456	K11540
gene457	K11541
gene458	K11547
gene459	K11584
gene460	K11593
gene461	K11594
gene462	K11596
gene463	K11644
gene464	K11654
gene465	K11662
gene466	K11684
gene467	K11718
gene468	K11721
gene469	K11788
gene470	K11793
gene471	K11805
gene472	K11824
gene473	K11826
gene474	K11827
gene475	K11835
gene476	K11837
gene477	K11838
gene478	K11839
gene479	K11843
gene480	K11884
gene481	K11979
gene482	K12188
gene483	K12191
gene484	K12304
gene485	K12311
gene486	K12391
gene487	K12392
gene488	K12393
gene489	K12394
gene490	K12396
gene491	K12397
gene492	K12398
gene493	K12400
gene494	K12402
gene495	K12447
gene496	K12479
gene497	K12483
gene498	K12486
gene499	K12495
gene500	K12571
gene501	K12572
gene502	K12581
gene503	K12585
gene504	K12591
gene505	K12604
gene506	K12613
gene507	K12614
gene508	K12618
gene509	K12619
gene510	K12624
gene511	K12662
gene512	K12666
gene513	K12668
gene514	K12734
gene515	K12735
gene516	K12736
gene517	K12737
gene518	K12761
gene519	K12767
gene520	K12811
gene521	K12812
gene522	K12814
gene523	K12815
gene524	K12816
gene525	K12818
gene526	K12819
gene527	K12820
gene528	K12823
gene529	K12825
gene530	K12826
gene531	K12827
gene532	K12828
gene533	K12829
gene534	K12830
gene535	K12835
gene536	K12836
gene537	K12837
gene538	K12844
gene539	K12845
gene540	K12847
gene541	K12849
gene542	K12852
gene543	K12855
gene544	K12857
gene545	K12858
gene546	K12859
gene547	K12860
gene548	K12862
gene549	K12867
gene550	K12868
gene551	K12869
gene552	K12874
gene553	K12876
gene554	K12877
gene555	K12879
gene556	K12883
gene557	K13024
gene558	K13025
gene559	K13026
gene560	K13095
gene561	K13100
gene562	K13103
gene563	K13106
gene564	K13110
gene565	K13111
gene566	K13115
gene567	K13117
gene568	K13121
gene569	K13123
gene570	K13155
